"","V1"
"1",-0.0606981645615261
"2",-0.0727811064765876
"3",-0.0594469432598594
"4",-0.0586099110406397
"5",-0.0604025285696061
"6",-0.0685131990431773
"7",-0.0661290069695879
"8",-0.0765971079064068
"9",-0.0781201584783255
"10",-0.116083915381368
"11",-0.0968186036749172
"12",-0.104537564967652
"13",-0.0950984427865831
"14",-0.0911434277996482
"15",-0.0855789933263044
"16",-0.0758010439413939
"17",-0.0777999813323526
"18",-0.0703408875407549
"19",-0.0727935831689321
"20",-0.0578720348739383
"21",-0.0785953424784013
"22",-0.06201772002566
"23",-0.0419667504266252
"24",-0.0589549522452025
"25",-0.0506095474247767
"26",-0.053482654357159
"27",-0.07300620457286
"28",-0.0774710223113997
"29",-0.0939100952035175
"30",-0.0988005681906488
"31",-0.145278672813995
"32",-0.147404748811555
"33",-0.163297144882995
"34",-0.122339618888162
"35",-0.118755547404174
"36",-0.084674657810685
"37",-0.159875700803467
"38",-0.129342662877848
"39",-0.0752366405508955
"40",-0.0451123687474574
"41",-0.0509739238743103
"42",-0.0838055000396529
"43",-0.108422880443152
"44",-0.0972931457438488
"45",-0.113668613480831
"46",-0.110474428403824
"47",-0.108659987621917
"48",-0.110939509498014
"49",-0.110910353403095
"50",-0.0869707868180799
"51",-0.0817501033734936
"52",-0.0613385341331139
"53",-0.105599165106337
"54",-0.109702785104252
"55",-0.118578704421473
"56",-0.13586671941972
"57",-0.129360517943696
"58",-0.145645088430299
"59",-0.169037602710592
"60",-0.164734135070548
"61",-0.14551099468295
"62",-0.156169312913496
"63",-0.143604658041988
"64",-0.138727466651051
"65",-0.116618463011881
"66",-0.128950664901276
"67",-0.111742367015015
"68",-0.0944532812942451
"69",-0.0749449040486984
"70",-0.0737554935041791
"71",-0.075724550225619
"72",-0.0928229654426225
"73",-0.1031250336142
"74",-0.109362412598805
"75",-0.105449095477715
"76",-0.11988737733311
"77",-0.12141927765121
"78",-0.114837199651468
"79",-0.102872139822919
"80",-0.128778472235246
"81",-0.118802110893189
"82",-0.0842477140109573
"83",-0.0884529280252221
"84",-0.103015464813294
"85",-0.102709046327017
"86",-0.10271887622084
"87",-0.0916482514179801
"88",-0.0892658212017745
"89",-0.0937293154155359
"90",-0.117110482284046
"91",-0.0868203855453344
"92",-0.0978850830632956
"93",-0.221582200589614
"94",-0.336583631657386
"95",-0.454197104882462
"96",-0.542588348024515
"97",-0.385652380010555
"98",-0.334777860604382
"99",-0.429880202764716
"100",-0.436961899968752
"101",-0.337947371816051
"102",-0.365055956262608
"103",-0.348348423110262
"104",-0.279793271475562
"105",-0.265292420591333
"106",-0.313486873059407
"107",-0.276339478234043
"108",-0.283146891846035
"109",-0.304273487923315
"110",-0.298372042268308
"111",-0.309693860046907
"112",-0.292021606683624
"113",-0.288117393707545
"114",-0.30132060033631
"115",-0.312502890011321
"116",-0.279859476314886
"117",-0.347878958906816
"118",-0.289425711476231
"119",-0.2362323734244
"120",-0.23906468589317
"121",-0.210381988582358
"122",-0.223400377253366
"123",-0.242188002965446
"124",-0.208228450098472
"125",-0.215588114923056
"126",-0.198101164300211
"127",-0.171251360649833
"128",-0.168268905171294
"129",-0.164138154985519
"130",-0.150760242280914
"131",-0.140896166411541
"132",-0.14905209611344
"133",-0.168807186484409
"134",-0.152620153362499
"135",-0.124745594585813
"136",-0.131064905128269
"137",-0.0900519414238569
"138",-0.133988293592159
"139",-0.139919936231883
"140",-0.120487575235064
"141",-0.14179367049426
"142",-0.122048004944945
"143",-0.109918400508231
"144",-0.135460184156214
"145",-0.158311666162213
"146",-0.130795053162743
"147",-0.119618537935738
"148",-0.100469863981859
"149",-0.149521205335847
"150",-0.137399679038996
"151",-0.110792091690765
"152",-0.106584208472288
"153",-0.136748751807858
"154",-0.0834743731340367
"155",-0.104383182290877
"156",-0.0887015431816584
"157",-0.0773551786407661
"158",-0.0951638295128925
"159",-0.0873364186846556
"160",-0.0639731587233322
"161",-0.121653336303482
"162",-0.108808932307867
"163",-0.121902955809475
"164",-0.116875093574607
"165",-0.0947752949973703
"166",-0.0817704324564624
"167",-0.0817186424531479
"168",-0.0686384278236049
"169",-0.0673233591244985
"170",-0.0700745015859052
"171",-0.0759488204642533
"172",-0.0580883570871989
